title,area,contentid,addr,cat,x,y
프라다 롯데 광주점,5,2925528,광주광역시 동구 독립로 268 1층,A04,126.9121968102,35.1545961328
프라다 롯데 대구점,4,2908597,대구광역시 북구 태평로 161,A04,128.5961541136,35.8759276605
프라다 롯데 본점,1,2907463,서울특별시 중구 을지로 30,A04,126.9810458210,37.5654016461
프라다 롯데 부산점,6,2909281,부산광역시 부산진구 가야대로 772,A04,129.0559892441,35.1573337296
프라다 스타필드 하남점,31,2928946,경기도 하남시 미사대로 750,A04,127.2237576241,37.5454888917
프라다 신세계 강남점,1,2907611,서울특별시 서초구 신반포로 176,A04,127.0035815712,37.5056062193
프라다 신세계 대구점,4,2900766,대구광역시 동구 동부로 149,A04,128.6292150324,35.8779835934
프라다 신세계 본점,1,2907468,서울특별시 중구 소공로 63,A04,126.9810181709,37.5609966018
프라다 신세계 센텀시티점,6,2910312,부산광역시 해운대구 센텀남대로 35 신세계백화점 1층,A04,129.1295519730,35.1688560217
프라다 현대 목동점,1,2910563,서울특별시 양천구 목동동로257,A04,126.8747288364,37.5263292843
프라다 현대 본점,1,2907504,서울특별시 강남구 압구정로 165,A04,127.0274843337,37.5274180039
프라다 현대 신촌점,1,2909370,서울특별시 서대문구 신촌로 83,A04,126.9358252045,37.5561435782
프라다 현대 울산점,7,2911565,울산광역시 남구 삼산로 261,A04,129.3358403579,35.5396099442
프라다 현대 코엑스점,1,2907522,서울특별시 강남구 테헤란로 517,A04,127.0597791462,37.5086679839
프라다 현대 킨텍스점,31,2911531,경기도 고양시 일산서구 호수로 817 1층,A04,126.7514777471,37.6686077579
프라다남성 신세계 강남점,1,2928286,서울특별시 서초구 신반포로 176 6층,A04,127.0035815712,37.5056062193
프라다남성 신세계 본점,1,2925740,서울특별시 중구 소공로 63 6층,A04,126.9810181709,37.5609966018
프라다슈즈 신세계 강남점,1,2899191,서울특별시 서초구 신반포로 176 4층,A04,127.0035815712,37.5056062193
프라이탁 압구정,1,2931019,서울특별시 강남구 선릉로153길 11 1층일부,A04,127.0385278473,37.5247685104
프라임안경 스타필드 코엑스점,1,2922914,서울특별시 강남구 영동대로 513 113호,A04,127.0592179950,37.5119175967
프랑코페라로,1,3305328,서울특별시 금천구 벚꽃로 278 (가산동),A04,126.8846459143,37.4795432303
프랑코페라로 모다아울렛 인천점,2,3305620,인천광역시 서구 북항로32번안길 50 (원창동),A04,126.6477388876,37.5099716004
프랑코페라로 현대가산,1,2925775,서울특별시 금천구 디지털로10길 9,A04,126.8890705637,37.4776713039
프랜치캣 롯데안산,31,2924640,경기도 안산시 단원구 고잔1길 12,A04,126.8345133215,37.3180555223
프랫 nc신구로,1,3305754,서울특별시 구로구 구로중앙로 152 (구로동),A04,126.8827871414,37.5012129024
프레드 갤러리아,1,2929312,"서울특별시 강남구 압구정로 407, 2층",A04,127.0418357887,37.5279681978
프레드 신세계 대구점,4,2929794,대구광역시 동구 동부로 149,A04,128.6292150324,35.8779835934
프레드페리 타임스퀘어,1,2904056,서울특별시 영등포구 영중로 15,A04,126.9053818370,37.5178335971
프레드페리코엑스점,1,2915233,서울특별시 강남구 영동대로513,A04,127.0592179950,37.5119175967
프레쉬,1,3306135,서울특별시 영등포구 영중로 9 (영등포동4가),A04,126.9055901684,37.5172308925
프레젠트모먼트,1,2784912,서울특별시 마포구 동교로 49-1,A04,126.9077278490,37.5531767536
프렌치캣,1,3305389,서울특별시 관악구 봉천로 209 (봉천동),A04,126.9249974851,37.4905482278
프렌치캣,1,3306650,서울특별시 영등포구 영중로 9 (영등포동4가),A04,126.9055901684,37.5172308925
프렐류드,3,3046936,대전광역시 중구 중앙로129번길 30 (선화동),A04,127.4235679296,36.3293964929
프렐린 뉴코아 평촌,31,3305784,경기도 안양시 동안구 동안로 119 (호계동),A04,126.9516812325,37.3893465617
프로그램 세이브존 광명,31,3306432,경기도 광명시 철망산로 87 (철산동),A04,126.8775690394,37.4703552820
프로그램뉴코아아울렛울산,7,2916190,울산광역시 남구 삼산로217,A04,129.3308713830,35.5383322165
프로스펙스,32,2905408,강원특별자치도 속초시 중앙로 94,A04,128.5863280409,38.2016493196
프로스펙스,34,2911404,충청남도 부여군 백제문로387,A04,126.9019791164,36.3072593060
프로스펙스,31,2927040,경기도 파주시 회동길 390,A04,126.6937760801,37.7178732145
프로스펙스 nc신구로,1,3305459,서울특별시 구로구 구로중앙로 152 (구로동),A04,126.8827871414,37.5012129024
프로스펙스 뉴코아 광명점,31,3306933,경기도 광명시 하안로287번길 8 (하안동),A04,126.8797552078,37.4612063835
프로스펙스 뉴코아 산본점,31,3305707,경기도 군포시 번영로 504 (산본동),A04,126.9331865653,37.3581581822
프로스펙스 뉴코아 평촌,31,3305966,경기도 안양시 동안구 동안로 119 (호계동),A04,126.9516812325,37.3893465617
프로스펙스 모다아울렛 인천점,2,3307204,인천광역시 서구 북항로32번안길 50 (원창동),A04,126.6477388876,37.5099716004
프로스펙스 순천중앙점,38,2904657,전라남도 순천시 시민로 37-1(남내동),A04,127.4859957767,34.9532063929
프로스펙스 원주,32,3306123,강원특별자치도 원주시 원일로 61 (원동),A04,127.9515640755,37.3475362902
프로스펙스 원주 일산동,32,3307211,강원특별자치도 원주시 원일로 127 (일산동),A04,127.9478476535,37.3506441960
프로스펙스 원주점,32,3305540,강원특별자치도 원주시 원일로 61,A04,127.9515640755,37.3475362902
프로스펙스 일산동점(원주),32,3307104,강원특별자치도 원주시 원일로 127,A04,127.9478476535,37.3506441960
프로스펙스_춘천명동점,32,2903638,강원특별자치도 춘천시 명동길 13-1(조양동),A04,127.7272020950,37.8792343620
프로월드컵 뉴코아 산본점,31,3306480,경기도 군포시 번영로 504 (산본동),A04,126.9331865653,37.3581581822
프로월드컵 세이브존 광명점,31,3305797,경기도 광명시 철망산로 87 (철산동),A04,126.8775690394,37.4703552820
프로월드컵뉴코아아울렛울산,7,2916206,울산광역시 남구 삼산로217,A04,129.3308713830,35.5383322165
프로젝트 m,31,2927030,경기도 수원시 권선구 세화로134,A04,126.9973083655,37.2642285439
프로젝트M,1,3306729,서울특별시 영등포구 영중로 9 (영등포동4가),A04,126.9055901684,37.5172308925
프로젝트M,1,3307003,서울특별시 금천구 디지털로 185 (가산동),A04,126.8872262708,37.4782600918
프로젝트엠,31,2928828,경기도 고양시 일산동구 중앙로1206,A04,126.7768508220,37.6546348372
프로젝트엠,34,3306398,충청남도 부여군 규암면 백제문로 387,A04,126.9019791164,36.3072593060
프로젝트엠,1,3306938,서울특별시 강북구 도봉로 62 (미아동),A04,127.0305315802,37.6146468109
프로젝트엠 2001아울렛 중계,1,3306866,서울특별시 노원구 동일로204가길 46 (중계동),A04,127.0679274101,37.6413416033
프로젝트엠 nc신구로,1,3306572,서울특별시 구로구 구로중앙로 152 (구로동),A04,126.8827871414,37.5012129024
프로젝트엠 뉴코아 산본점,31,3307536,경기도 군포시 번영로 504 (산본동),A04,126.9331865653,37.3581581822
프로젝트엠 뉴코아 평촌,31,3305937,경기도 안양시 동안구 동안로 119 (호계동),A04,126.9516812325,37.3893465617
프로젝트엠 모다아울렛 인천점,2,3305329,인천광역시 서구 북항로32번안길 50 (원창동),A04,126.6477388876,37.5099716004
프리미엄멀티샵 청담,1,2931342,"서울특별시 강남구 선릉로158길 10, 1층",A04,127.0408581702,37.5254851357
프리스비 타임스퀘어점,1,2900329,서울특별시 영등포구 영중로 15,A04,126.9053818370,37.5178335971
