title,area,contentid,addr,cat,x,y
남산호스텔,1,2487684,서울특별시 중구 퇴계로18길 67 (남산동2가),B02,126.9846040375,37.5580831159
남성각,38,2621257,전라남도 목포시 보리마당로50번길 2 (서산동),B02,126.3779531268,34.7836457461
남순재,38,3416791,전라남도 고흥군 점암면 장남2길 19,B02,127.3855740593,34.6207030837
남악종택,35,2607661,경상북도 예천군 용문면 구계길 43-8,B02,128.3844776874,36.6876868895
남원예촌,37,2528155,전북특별자치도 남원시 광한북로 17 (금동),B02,127.3793935943,35.4044425675
남이섬 설리조트,32,2907740,강원특별자치도 춘천시 서백길 707-4,B02,127.5822871919,37.7958524789
남이섬그랑나랑풀빌라,31,3533006,경기도 가평군 가평읍 북한강변로 1007-36,B02,127.5234145471,37.8035782702
남이섬하늘사랑,31,3416148,경기도 가평군 가평읍 북한강변로 1101-11,B02,127.5227144237,37.8099747356
남해 디풀빌라,36,2819569,경상남도 남해군 미조로 164,B02,128.0506387470,34.7077714996
남해 산마루 펜션,36,3044526,경상남도 남해군 창선면 동부대로 2575-25,B02,128.0104154637,34.8849981779
남해 온뷰펜션,36,138886,경상남도 남해군 삼동면 동부대로1122번길 128,B02,128.0481198774,34.8017914928
남해스포츠파크호텔,36,137779,경상남도 남해군 서면 스포츠파크길 73,B02,127.8356967108,34.8041375134
남해청소년수련원,36,138812,경상남도 남해군 삼동면 동부대로 1542-35,A03,128.0291208202,34.8295047236
남해펜션920,36,1997502,경상남도 남해군 남면 남면로 920,B02,127.8759368002,34.7283078158
남호구택,35,2594864,경상북도 봉화군 봉화읍 바래미길 21,B02,128.7124007849,36.8938305643
낭만밤바다호스텔(낭만밤바다펜션리조트),38,2697633,전라남도 여수시 이순신광장로 159 (중앙동),B02,127.7413455512,34.7374461216
낭만시대 게스트하우스(낭만시대),37,2570681,전북특별자치도 전주시 완산구 동문길 102 (경원동1가),B02,127.1484144273,35.8180749794
내장산 몽환의 숲 펜션,37,2622933,전북특별자치도 정읍시 용산호반길 26-4 (신정동),B02,126.8538681125,35.5058303904
너랑온펜션,32,2913809,강원특별자치도 동해시 망상길 42,B02,129.0891321745,37.5909132366
너레바우,,3101948,강원특별자치도 강릉시 율곡로 2718-1 (노암동),B02,128.9074769198,37.7499968680
너른바위,32,398005,강원특별자치도 홍천군 당무로 987,B02,128.0322171930,37.7476331449
너와 나의 둥지,38,2569105,전라남도 강진군 달빛한옥길 42-1,B02,126.7181380382,34.7410561431
넘버25 수원화성행궁점,31,2849981,경기도 수원시 팔달구 정조로810번길 20 (남수동),B02,127.0179532651,37.2802937185
넘버25 호텔 경주터미널점,35,3470541,경상북도 경주시 금성로259번길 17 (노서동),B02,129.2052182485,35.8407568904
