title,area,addr,cat,x,y
거창국민여가캠핑장,36,경상남도 거창군 북상면 덕유월성로 1312-96,A03,127.7255174577,35.7620025911
거창서핑파크,36,경상남도 거창군 위천면 거차1길 23-18,A03,127.8363691322,35.7480089283
검디관광농원캠핑장,2,인천광역시 강화군 길상면 동검길 159-47,A03,126.5127740779,37.5869797053
검산별빛캠핑장,32,강원특별자치도 홍천군 서석면 마리소리길 120,A03,128.2434901568,37.7331443752
경기도청소년야영장,31,경기도 광주시 퇴촌면 천진암로 1243,A03,127.3767472538,37.4221809701
경상북도교육청 포항산누리오토캠핑장,35,경상북도 포항시 북구 죽장로 2805,A03,129.2486538851,36.3030748217
경상북도교육청김천오토캠핑장,35,경상북도 김천시 증산1로 163,A03,128.0261340771,35.9097467613
경주 캠핑573,35,경상북도 경주시 새안현로 507-19,A03,129.1495071077,35.9158056952
경주별빛마루글램핑장과펜션,35,경상북도 경주시 천북면 새터흥림길 1-75,A03,129.2939359164,35.9223799071
경주오류캠핑장,35,경상북도 경주시 감포읍 동해안로 2468-14,A03,129.5084922290,35.8223647215
경주초우오토캠핑장,35,경상북도 경주시 산업로 3549-30 (동방동),A03,129.2566868756,35.8086448196
경주텐타우스글램핑,35,경상북도 경주시 강동면 왕신숲골안길 5,A03,129.2916320584,35.9670692575
경주힐링캠프,35,경상북도 경주시 산내면 장사길 418-55,A03,129.0410500007,35.8164315488
경호강 카라반,36,경상남도 산청군 단성면 호암로1320번길 88-4,A03,127.9159252891,35.3573461828
경호강변오토캠핑장,36,경상남도 산청군 생초면 산수로1153번길 92,A03,127.8134781092,35.4869769559
경호강캠핑장,36,경상남도 산청군 단성면 호암로1320번길 88-1,A03,127.9161086065,35.3573350762
계곡 좋은 펜션 야영장,36,경상남도 하동군 아래몰길 24-10,A03,127.7198818385,35.2356731124
계곡메사오토캠핑장펜션,31,경기도 포천시 이동면 금강로 6145-45,A03,127.3878244001,38.0780521163
계곡풍경펜션,31,경기도 가평군 북면 가화로 2389-38,A03,127.4752256561,37.9531016383
계룡산갑사야영장,34,충청남도 공주시 계룡면 갑사로 451,A03,127.1781359375,36.3729843860
계룡산글램핑,34,충청남도 공주시 반포면 계룡대로 1352,A03,127.2534796456,36.3560654290
계룡산동학사자동차야영장,34,충청남도 공주시 반포면 동학사2로 115-16,A03,127.2416084404,36.3577678025
계명산 나무숲길 캠핑장,33,충청북도 충주시 절골길 132 (용탄동),A03,127.9593926992,37.0059702592
계방산오토캠핑장,32,강원특별자치도 평창군 용평면 이승복생가길 160,A03,128.4814446084,37.7013137118
고길동캠핑장,32,강원특별자치도 홍천군 북방면 성동로 1625-16,A03,127.8341022345,37.8277284586
고대산캠핑리조트,31,경기도 연천군 신서면 대광리 130-3,A03,127.1434289136,38.2136373284
고래불국민야영장,35,경상북도 영덕군 병곡면 고래불로 68 (덕천리 1-58),A03,129.4190170543,36.5715892439
고래숲캠핑장,31,경기도 안산시 단원구 장불길 14 (대부남동),A03,126.5618080302,37.2003865846
고령 대가야 카라반,35,경상북도 고령군 대가야읍 신남로 61,A03,128.2652350075,35.7122040269
고멧 캠핑장,31,경기도 가평군 가평읍 용추로 227-98,A03,127.4869222112,37.8450505490
고명야영캠핑장,33,충청북도 제천시 고명로7가길 8 (고명동),A03,128.2444554866,37.1193736201
