title,area,contentid,addr,cat,x,y
대둔도,38,1560396,전라남도 신안군 흑산면 김이수길 57,A01,125.4642575694,34.7290511565
대둔사(구미),35,299984,경상북도 구미시 옥성면 산촌옥관로 691-78,A02,128.2420253649,36.3357827815
대둔사(칠곡),35,299983,경상북도 칠곡군 가산면 가산로1길 272-59 (가산면),A02,128.5789643989,36.0590121463
대둔산도립공원(금산),34,128001,충청남도 금산군 진산면 대둔산로 2,A01,127.3416665299,36.1374586362
대둔산도립공원(논산),34,128002,충청남도 논산시 벌곡면 수락리,A01,127.3021171618,36.1419435389
대둔산도립공원(전북),37,127673,전북특별자치도 완주군 운주면 대둔산공원길 23,A01,127.3328123047,36.1172885601
대둔산자연휴양림,34,126963,충청남도 금산군 진산면 대둔산로 6,A01,127.3448472076,36.1223131984
대둔산케이블카,37,2707908,전북특별자치도 완주군 운주면 대둔산공원길 55,A02,127.3294987277,36.1166913472
대련사(예산),34,299985,충청남도 예산군 광시면 동산2길 119,A02,126.7812047382,36.5872889606
대룡마을,6,3015416,부산광역시 기장군 장안읍 대룡1길 10,A02,129.2635125022,35.3708886464
대리 칠충각,38,127350,전라남도 화순군 화순읍 한고을길 16,A02,126.9749854093,35.0556000315
대림동 차이나타운,1,2402981,서울특별시 영등포구 대림동 1050-43,A02,126.8975138236,37.4924530714
대림어린이공원,1,2753103,서울특별시 영등포구 대림로 106 (대림동),A02,126.9032244523,37.4911227720
대마도,38,580729,전라남도 진도군 조도면,A01,125.9969989644,34.2631425145
대명공연거리,4,2478964,대구광역시 남구 계명중앙1길 54 (대명동),A02,128.5826086460,35.8557435846
대명유수지,4,2999140,대구광역시 달서구 대천동 816,A01,128.4907537817,35.8221401441
대모산도시자연공원,1,1602451,서울특별시 강남구 광평로10길 30-71 (일원동),A01,127.0750897453,37.4775857564
대모산숲속야생화원,1,3076460,서울특별시 강남구 일원동 산63-57,A01,127.0783976958,37.4804771469
대모암(순창),37,299989,전북특별자치도 순창군 순창읍 장류로 197-22,A02,127.1238503415,35.3728695088
대방마을,36,129089,경상남도 사천시 동서동,A02,128.0553798357,34.9290023706
대방진굴항,36,126225,경상남도 사천시 굴항길 82-10 (대방동),A02,128.0564103078,34.9287579714
대법륜사,36,2784247,경상남도 김해시 금관대로 1088-28,A02,128.8508330542,35.2247307343
대법사(밀양),36,299992,경상남도 밀양시 무안면 무안서로 163-158,A02,128.6064811567,35.4666296259
대법사(여주),31,299991,경기도 여주시 가남읍 안금3길 3-43,A02,127.6048821432,37.2285297562
대변마을,6,129092,부산광역시 기장군 기장읍 기장해안로 605,A02,129.2303944389,35.2248238474
대복사(남원),37,299994,전북특별자치도 남원시 대복사길 61 (왕정동),A02,127.3690247598,35.4162854929
대봉배수지,4,2998787,대구광역시 남구 이천동,A01,128.5968351959,35.8548522810
대봉산자연휴양림,36,2790512,경상남도 함양군 병곡면 병곡지곡로 333,A01,127.7150482787,35.5779815896
대부도,31,126844,경기도 안산시 단원구 대부황금로 1531,A01,126.5852713772,37.2437208608
대부도 메타세콰이어길,31,2863990,경기도 안산시 단원구 대부황금로 1480-7 (대부북동),A01,126.5745656285,37.2863268431
대부도 방아머리 음식문화거리,31,611515,경기도 안산시 단원구 대부중앙로 97-9 (대부북동),A02,126.5851519450,37.2436764194
대부도 흘곶어촌체험마을,31,2761255,경기도 안산시 단원구 대남로 618 (대부남동),A02,126.5493034605,37.2059468330
대부도공원,31,2863955,경기도 안산시 단원구 대부황금로 1546 (대부북동),A02,126.5806788449,37.2905347955
대부둑공원,31,2745729,경기도 수원시 권선구 호매실로 29-12 (고색동),A02,126.9702055288,37.2549430248
대부바다향기테마파크,31,2656733,경기도 안산시 단원구 대부황금로 1546 (대부북동),A02,126.5806788449,37.2905347955
대부산,31,127056,경기도 양평군 옥천면 신복리,A01,127.4881190736,37.5676522493
대비사(청도),35,299997,경상북도 청도군 금천면 박곡길 590,A02,128.9363997869,35.6562310065
대산계곡,32,2714778,강원특별자치도 횡성군 서원면 옥계리 921,A01,127.8540787410,37.4322496866
대산플라워랜드,36,2758443,경상남도 창원시 의창구 대산면 모산리,A01,128.7169689369,35.3563385018
대섬어촌복합체험공원,38,2782971,전라남도 해남군 송지면 땅끝해안로 1354-4,A02,126.5211480704,34.3505189364
대성리 국민관광지,31,127959,경기도 가평군 청평면 대성강변길 44,A02,127.3795590264,37.6798927837
대성사(대구),4,300072,대구광역시 중구 북성로 19-1 (서야동),A02,128.5845107540,35.8737971315
대성사(서울),1,300076,서울특별시 서초구 남부순환로328길 49 (서초동),A02,127.0134731649,37.4763181306
대성사(옥천),33,300077,충청북도 옥천군 옥천읍 지용로 142,A02,127.5907283417,36.3167481418
대성사(이원),33,300078,충청북도 옥천군 이원면 강청길 36-9,A02,127.6136837878,36.2456816692
대성산,36,2892257,경상남도 산청군 신등면 양전리,A01,127.9399199326,35.3750390571
대성산지구 전적비,32,2569361,강원특별자치도 화천군 상서면 다목리 산1-1,A02,127.5405935748,38.1775155575
대성저수지,35,2762701,경상북도 김천시 아포읍 대성리,A01,128.2939237113,36.1309459456
대수산봉,39,3559716,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,A01,117.9925662504,19.6944274800
