title,area,contentid,addr,cat,x,y
큰집한우촌,38,2670494,전라남도 순천시 비봉길 73,A05,127.5204868650,34.9660361015
클라시커 커피,31,2861170,경기도 평택시 만세로 1762-4 (비전동),A05,127.1080331688,37.0105487347
클라우드32,6,843489,부산광역시 해운대구 마린시티3로 52 32층,A05,129.1449565859,35.1543912594
클라우드힐,36,2930120,경상남도 통영시 산양일주로 71,A05,128.4385965168,34.8182187964
클래식캠퍼,6,2785267,부산광역시 사상구 대동로 224 (학장동),A05,128.9851956764,35.1473946491
클럽에스프레소,1,3065976,서울특별시 종로구 창의문로 132 (부암동),A05,126.9659991959,37.5927454201
클레이디뷔페 돌잔치,6,2870780,부산광역시 동구 조방로 14 (범일동),A05,129.0634807673,35.1387665027
키다리아저씨,1,1932511,서울특별시 마포구 성미산로 22 (성산동),A05,126.9106413228,37.5584928548
키로베이커리,31,2911247,경기도 성남시 분당구 판교역로2번길 14 (백현동),A05,127.1127472829,37.3846333267
키리엘,32,2666682,강원특별자치도 춘천시 퇴계로77번길 9-1,A05,127.7298911962,37.8637973184
키미아트,1,639462,서울특별시 종로구 평창30길 47,A05,126.9721924223,37.6157900743
키스톤 스피시즈,31,2820866,경기도 남양주시 경춘로 1104-2,A05,127.2254965220,37.6366144495
키에라코트,31,2842779,경기도 안양시 동안구 동편로183번길 10 (관양동),A05,126.9700318528,37.4067587583
키와마루아지,31,2865639,경기도 화성시 동탄중심상가2길 11 (반송동),A05,127.0733253248,37.2057949977
키친205,38,2794958,전라남도 함평군 함평읍 함평천우길 52,A05,126.5244500971,35.0612529607
키친동백,6,2859188,부산광역시 해운대구 달맞이길117번가길 85 (중동),A05,129.1787924398,35.1578276130
키친루셀로,36,2905836,경상남도 거제시 거제대로 1861,A05,128.6730372772,34.8165981836
키친숲,1,2815662,서울특별시 마포구 동교로 256-10,A05,126.9251982156,37.5625093148
키친아루요,39,2781493,제주특별자치도 제주시 애월읍 유수암평화5길 15-8,A05,126.4052962464,33.4237924354
키친온유,32,2929178,강원특별자치도 속초시 영랑로2길 22,A05,128.5908939252,38.2134008175
키크러스커피,32,2913305,강원특별자치도 강릉시 창해로14번길 48-1,A05,128.9496002584,37.7708536108
킨이로텐,34,2856818,충청남도 천안시 서북구 불당21로 40 천안불당 호반써밋플레이스,A05,127.1045028129,36.8133075213
킨토토,3,2665553,대전광역시 서구 계룡로 403,A05,127.3727746632,36.3509903434
킵댓 본점,31,2892820,경기도 수원시 팔달구 화서문로31번길 14-34,A05,127.0113814776,37.2861012618
킷사텐,31,2892636,경기도 부천시 원미구 부일로449번길 16 (심곡동),A05,126.7804163151,37.4869710679
킹스시,31,2842459,"경기도 용인시 수지구 정든로 5 (죽전동, 죽전역 솔하임)",A05,127.1135571513,37.3275566216
킹의전설 김포장기점,31,2845700,경기도 김포시 김포한강1로97번길 10-15 (장기동),A05,126.6714773090,37.6479226345
킹콩갤러리카페,4,3458135,대구광역시 달서구 화암로 322 (대곡동),A05,128.5184185438,35.8028706104
타니스 레스토랑,2,2843891,인천광역시 서구 정서진5로 29 (오류동),A05,126.6178207249,37.5620539028
타래,32,3537692,강원특별자치도 강릉시 주문진읍 신리천로 620,A05,128.7699018946,37.8824732952
타마린드,1,2623628,서울특별시 서초구 신반포로 176,A05,127.0032288434,37.5049701757
타무라,39,2853291,제주특별자치도 제주시 조천읍 중산간동로 670,A05,126.6568893511,33.4989714565
타베르나,35,2903605,경상북도 경주시 첨성로81번길 18,A05,129.2113206584,35.8348660036
타볼로24,1,2788816,서울특별시 종로구 청계천로 279 (종로6가),A05,127.0087987073,37.5703710113
타샤의정원,31,3337819,경기도 파주시 지목로 115 (신촌동),A05,126.7022694310,37.7291053906
타워차이 본점,1,2926998,"서울특별시 강남구 언주로30길 26 (도곡동, 타워팰리스)",A05,127.0524442876,37.4880285818
타이가든,1,2654144,서울특별시 중구 명동길 55 (명동1가) 3층 302호,A05,126.9854010143,37.5641824217
타이가텐푸라,6,2858974,부산광역시 해운대구 우동1로38번가길 15 (우동),A05,129.1584217967,35.1648042324
타이빈,6,2869532,부산광역시 동래구 금강로73번길 12 (온천동),A05,129.0773274366,35.2162997405
타이씨암레스토랑,31,2855554,경기도 용인시 처인구 성산로 633 F동 2~3층,A05,127.2091468603,37.2864658761
타임체임버바이스템커피 수원스타필드점,31,3445980,경기도 수원시 장안구 수성로 175 (정자동) 4층,A05,126.9915582378,37.2874813034
타임투비,31,3318471,경기도 용인시 수지구 성복1로281번길 11 (성복동),A05,127.0548625849,37.3237837844
타지펠리스,1,820610,서울특별시 용산구 우사단로 39,A05,126.9954370746,37.5336861454
타짜 장면,37,2842179,전북특별자치도 장수군 장계면 장무로 195,A05,127.5832642828,35.7285510908
타짜오리하우스 본점,36,2843594,경상남도 산청군 원지로 178,A05,127.9880539410,35.2944351091
타츠진 우동,3,3416187,대전광역시 서구 대덕대로249번길 15 (둔산동),A05,127.3782824000,36.3548177811
타코마이너,1,2895024,서울특별시 성동구 연무장길 39-13 (성수동2가) 2층,A05,127.0538675913,37.5433138540
타타에스프레소바,6,2868448,부산광역시 수영구 무학로33번길 57 1층,A05,129.1179253383,35.1640674534
탁주시음장,32,2789608,강원특별자치도 화천군 화천읍 산수화로 13,A05,127.7060777572,38.1077545688
탄금대 왕갈비탕,33,2044823,충청북도 충주시 능바우길 35,A05,127.9098254909,36.9863827101
탄천한우,31,2875099,경기도 성남시 수정구 탄천로 594 주건축물제1동,A05,127.1199838374,37.4439460232
탈리,31,134608,경기도 성남시 분당구 서현로 192,A05,127.1243850249,37.3877942802
탐광,1,2894728,서울특별시 성동구 연무장5가길 26 (성수동2가),A05,127.0554341176,37.5432277812
탐라도야지 본점,1,2860963,서울특별시 서초구 서초대로50길 82 (서초동),A05,127.0135727797,37.4896443629
탐마루,38,1368504,전라남도 장흥군 장흥읍 장흥로 1,A05,126.9052091648,34.6805632745
탐복,6,2775543,부산광역시 기장군 일광면 문오성길 31,A05,129.2577487848,35.2829039614
탐복미나리가든,35,2363049,경상북도 청도군 청도읍 한재로 382,A05,128.7312945584,35.5917039312
탐스바닷가재,5,2664950,광주광역시 동구 지호로124번길 10-1 (지산동),A05,126.9428053659,35.1486139925
탐앤탐스 영월점,32,2913261,강원특별자치도 영월군 영월읍 동강로 100 2층,A05,128.5017302779,37.1917256957
탑골가든,32,2774515,강원특별자치도 춘천시 남산면 김유정로 427-12,A05,127.7072993792,37.7504822920
탑골순대국,31,2834983,경기도 용인시 수지구 수지로342번길 42 (풍덕천동),A05,127.0974586860,37.3249483018
탑골식당,4,2856235,대구광역시 동구 동화사2길 21-7 1층,A05,128.6980057983,35.9912775903
탑립커피,3,2900973,대전광역시 유성구 엑스포로 600 (탑립동),A05,127.4027981924,36.4084815198
탑플레이스 다이닝,32,2905845,강원특별자치도 춘천시 순환대로 1154-115,A05,127.7771499111,37.8931947811
탕수육,31,2863676,경기도 파주시 지목로 138 (문발동),A05,126.7042803361,37.7298720032
탕정집 쭈꾸미 지중해점,34,2858697,충청남도 아산시 탕정면로22번길 15-18,A05,127.0614043611,36.7972502742
태광식당,39,2767779,제주특별자치도 제주시 탑동로 144 (용담일동),A05,126.5188093708,33.5126399595
